sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
4494;Região Sudeste;SP;São Paulo;CACAPAVA;CENTRO;RUA MARQUES DO HERVAL;308;12281510;-23,1017868;-45,7047569
4495;Região Norte;RO;Rondônia;ARIQUEMES;POLO MOVELEIRO;RUA CAXETA;4221;76875536;-9,9061054;-63,0330413
4496;Região Nordeste;RN;Rio Grande do Norte;NATAL;TIROL;AVENIDA CAMPOS SALES;680;59020300;-5,7892677;-35,2004938
4497;Região Sul;RS;Rio Grande do Sul;CANOAS;ESTANCIA VELHA;RUA ORION LOT MOINHOS DE VENTO;187;92031065;-29,9182447;-51,1538618
4498;Região Sudeste;SP;São Paulo;SAO PAULO;VILA CARRAO;RUA JOAO VIEIRA PRIOSTE;785;03429000;-23,5521806;-46,5397154
4499;Região Nordeste;RN;Rio Grande do Norte;MOSSORO;BOM JARDIM;AVENIDA ALBERTO MARANHAO;3695;59618700;-5,1772011;-37,335805
4500;Região Sul;RS;Rio Grande do Sul;PLANALTO;SAO GABRIEL;RUA BELO HORIZONTE;SN;98470000;-27,3305573;-53,0599118
4501;Região Sul;PR;Paraná;CASCAVEL;SANTA CRUZ;RUA XAVANTES;127A;85806020;-24,972341;-53,5039076
4502;Região Sul;SC;Santa Catarina;JOINVILLE;COSTA E SILVA;RUA RUI BARBOSA;2253;89220100;-26,2646545;-48,8826813
4503;Região Nordeste;MA;Maranhão;PINDARE MIRIM;CENTRO;RUA SANTOS DUMONT;37;65370000;-3,6092913;-45,3409755
4504;Região Nordeste;CE;Ceará;FORTALEZA;CENTRO;RUA AGAPITO DOS SANTOS;374;60010250;-3,7245493;-38,5384093
4505;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM NOVO CAMPOS ELISEOS;AVENIDA RUY RODRIGUEZ;1120;13060192;-22,9402849;-47,1078353
4506;Região Sul;SC;Santa Catarina;SAO JOSE;BARREIROS;RUA GUISELLA;998;88113650;-27,569979;-48,6126433
4507;Região Sudeste;SP;São Paulo;DIADEMA;JARDIM CANHEMA;RUA NEUSA;440;09941420;-23,6772394;-46,601775
4508;Região Sudeste;SP;São Paulo;SANTO ANDRE;VILA PALMARES;AVENIDA GAGO COUTINHO;33;09061500;-23,6564863;-46,5539536
4509;Região Sudeste;SP;São Paulo;SAO JOSE DO RIO PRETO;VILA ELMAZ;RUA SILVIO NICOLETI;212;15051490;-20,7687346;-49,3755847
4510;Região Sul;SC;Santa Catarina;PALHOCA;BELA VISTA;RUA SERVIDAO AIRTON DA SILVA;64;88132760;-27,6580458;-48,6954248
4511;Região Centro-Oeste;GO;Goiás;INHUMAS;ALFA VILLE;RUA LEONTINA LOPES;SN;75400000;-16,3598085;-49,5021364
4512;Região Sul;PR;Paraná;PINHALAO;;RUA GERALDO VIEIRA;186;84925000;-23,7796729;-50,0355595
4513;Região Centro-Oeste;GO;Goiás;GOIANIA;VILA MAUA;RUA BEATRIZ;185;74323120;-16,6944829;-49,3156727
4514;Região Sul;RS;Rio Grande do Sul;PASSO FUNDO;VILA LUIZA;RUA TEIXEIRA SOARES;1721;99010080;-28,26722;-52,4094369
4515;Região Sudeste;SP;São Paulo;GUAPIARA;PORTAO PRETO;RUA VITALINO PAGLIATO;57;18310000;-24,1896991;-48,5300136
4516;Região Nordeste;BA;Bahia;SALVADOR;ENGOMADEIRA;RUA 15 DE NOVEMBRO;200;41200835;-12,8532543;-38,4732502
4517;Região Sul;PR;Paraná;TERRA RICA;CENTRO;AVENIDA SAO PAULO;1134;87890000;-22,7249861;-52,620324
4518;Região Nordeste;PE;Pernambuco;RECIFE;CAMPO GRANDE;RUA SAO CAETANO;351A;52031070;-8,0354027;-34,8790807
4519;Região Centro-Oeste;DF;Distrito Federal;BRASILIA;SOBRADINHO;MC 2;;73251901;-15,7942287;-47,8821658
4520;Região Sudeste;SP;São Paulo;MORUNGABA;CENTRO;RUA RODRIGUES LEME;81;13260000;-22,8797855;-46,7930572
4521;Região Sul;PR;Paraná;CURITIBA;CIDADE INDUSTRIAL;RUA PADRE FRANCISCO CHYLAZEK;389;81280030;-25,4353767;-49,3545076
4522;Região Sul;SC;Santa Catarina;SAO JOSE;SERRARIA;RUA GONCALINO CUCHINSKI;374;88115553;-27,6140791;-48,6370861
4523;Região Centro-Oeste;GO;Goiás;GOIANIA;BAIRRO FELIZ;RUA L 015;SN;74000000;-16,6082151;-49,3262619
