sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
1;Região Sudeste;SP;São Paulo;SAO PAULO;RECANTO CAMPO BELO;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;04880230;-23,5505199;-46,6333094
2;Região Nordeste;BA;Bahia;ITABUNA;JOAO SOARES;RUA DO CRUZEIRO;495;45604620;-14,7809311;-39,2636
3;Região Sudeste;SP;São Paulo;SAO PAULO;PARQUE SAO LUCAS;RUA VITOR DE QUEIROZ MATOS;105;03263010;-23,5907593;-46,5486725
4;Região Sudeste;MG;Minas Gerais;ALEM PARAIBA;VILA CAXIAS;RUA ANTONIO GALDINO MARCA;167;36660000;-21,8833835;-42,6985095
5;Região Nordeste;BA;Bahia;SALVADOR;BARRIS;RUA PORTAO DA PIEDADE;155;40070045;-12,9830488;-38,5136913
6;Região Sudeste;SP;São Paulo;SAO PAULO;VILA JAGUARA;AVENIDA CANDIDO PORTINARI;970;05114001;-23,5072955;-46,7555407
7;Região Sul;PR;Paraná;PINHAIS;VILA TARUMA;RUA 24 DE MAIO;574;83323060;-25,4387247;-49,1949172
8;Região Centro-Oeste;GO;Goiás;ANAPOLIS;SETOR CENTRAL;RUA DESEMBARGADOR JAIME;141;75020040;-16,3273047;-48,9533426
9;Região Sudeste;SP;São Paulo;PARAGUACU PAULISTA;JARDIM MURILO MACEDO;RUA VAIL JUSTINIANO TOLEDO;113;19700000;-22,432076;-50,5803154
10;Região Norte;TO;Tocantins;AXIXA DO TOCANTINS;CENTRO;RUA PARAENSE;SN;77930000;-5,6149591;-47,7708204
11;Região Centro-Oeste;GO;Goiás;ANAPOLIS;RECANTO DO SOL;AVENIDA ESTADO;623;75074590;-16,2806113;-48,9319839
12;Região Sudeste;SP;São Paulo;LOUVEIRA;JARDIM LAGO AZUL SANTO ANTONIO;RUA ANTONIO CHICALHONE;218;13290000;-23,0864185;-46,9770708
13;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;RAMOS;RUA AMANARU;152;21031590;-22,8492135;-43,2540858
14;Região Sul;SC;Santa Catarina;APIUNA;VARGEM GRANDE;ESTRADA VARGEM GRANDE;115;89135000;-27,0337085;-49,3872519
15;Região Sudeste;ES;Espírito Santo;CARIACICA;CAMPO GRANDE;AVENIDA EXPEDITO GARCIA;104;29146200;-20,3433882;-40,3875092
16;Região Sul;SC;Santa Catarina;MASSARANDUBA;GUARANI MIRIM;RUA HARROLD LAFFIN;208;89108000;-26,6109126;-49,0091505
17;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM APARECIDA;RUA BATISTA RAFFI;803;13068601;-22,8525901;-47,1565107
18;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CAICARAS;AVENIDA DOM PEDRO II;3180;30720460;-19,9120148;-43,9711978
19;Região Sudeste;SP;São Paulo;SAO PAULO;VILA LEOPOLDINA;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;1946;05314000;-23,5505199;-46,6333094
20;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;PARQUE RIACHUELO;PRACA RAMATIS;161;31230000;-19,8909944;-43,9523488
21;Região Sul;RS;Rio Grande do Sul;SANTA MARIA;JUSCELINO KUBITSCHEK;RUA ANTONIO SANGOI NETO;156;97035090;-29,6963563;-53,844565
22;Região Nordeste;CE;Ceará;SANTANA DO CARIRI;ARAPORANGA;RUA DO COMERCIO;102;63190000;-7,1882638;-39,7376748
23;Região Sul;SC;Santa Catarina;MAFRA;BELA VISTA SUL;LOCALIDADE BELA VISTA DO SUL;SN;89300000;-26,1117326;-49,8065079
24;Região Nordeste;PE;Pernambuco;VITORIA DE SANTO ANTAO;MATRIZ;RUA JOAO SABINO ANDRADE;70A;55602005;-8,1138885;-35,2915134
25;Região Sudeste;SP;São Paulo;SAO PAULO;VILA OLIMPIA;RUA CASA DO ATOR;275;04546004;-23,6001428;-46,6763564
26;Região Sudeste;MG;Minas Gerais;UBERLANDIA;APARECIDA;AVENIDA AFONSO PENA;1825;38400706;-18,908382;-48,270572
27;Região Sudeste;SP;São Paulo;OSASCO;VILA NOVA OSASCO;AVENIDA LUCIANINHO MELLI;42;06080010;-23,541913;-46,7788579
28;Região Sudeste;SP;São Paulo;MENDONCA;CENTRO;RUA ANGELO PETRONINI;478;15220000;-21,1900316;-49,580999
29;Região Sul;RS;Rio Grande do Sul;ROQUE GONZALES;CENTRO;RUA MAJOR ANTONIO T CARDOSO;223;97970000;-28,1322847;-55,0223579
30;Região Sul;SC;Santa Catarina;JOINVILLE;CENTRO;RUA PRINCESA ISABEL;238;89211595;-26,2993337;-48,844535
31;Região Sul;RS;Rio Grande do Sul;GRAVATAI;ITACOLOMI;ESTRADA GERAL DO MORRO AGUDO;305;94090120;-29,8744377;-50,9984135
32;Região Sudeste;SP;São Paulo;SAO PAULO;CAMBUCI;RUA GAMA CERQUEIRA;323;01539010;-23,5702953;-46,6197298
33;Região Sudeste;MG;Minas Gerais;LEOPOLDINA;FABRICA;RUA POMPILHO GUIMARAES;171;36700000;-21,5368229;-42,6413579
34;Região Sul;SC;Santa Catarina;VARGEM;INTERIOR;LOCALIDADE VILA FATIMA;SN;89638000;-27,4872075;-50,9728528
35;Região Sudeste;ES;Espírito Santo;VITORIA;ENSEADA DO SUA;RUA PROFESSOR ALMEIDA COUSIN;125;29050565;-20,3137737;-40,2941848
36;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;FREGUESIA JACAREPAGUA;RUA MARECHAL SEREJO;133;22743380;-22,9249284;-43,3431213
37;Região Sul;PR;Paraná;SANTA HELENA;CENTRO;LOCALIDADE DE LINHA PROGRESSO;SN;85892000;-24,8569233;-54,3334256
38;Região Sudeste;RJ;Rio de Janeiro;SAO GONCALO;JARDIM CATARINA;RUA MIGUEL GLINKA;;24716072;-22,7853052;-43,0051048
39;Região Sudeste;SP;São Paulo;COSMORAMA;ZONA RURAL;VIA DE COSMORAMA A AMERICO DE CAMPOS;SN;15530000;-20,4780031;-49,7779205
40;Região Sudeste;SP;São Paulo;SAO CARLOS;CENTRO;RUA JOSE BONIFACIO;180;13560160;-22,0268377;-47,8934375
41;Região Sudeste;MG;Minas Gerais;ITABIRA;VILA PIEDADE;RUA JOSE HILARIO;SN;35900202;-19,6284156;-43,220858
42;Região Sudeste;SP;São Paulo;SAO BERNARDO DO CAMPO;CHACARA INGLESA;AVENIDA BARAO DE MAUA;50;09726000;-23,6911701;-46,5606889
43;Região Sudeste;SP;São Paulo;SAO PAULO;PINHEIROS;AVENIDA EUSEBIO MATOSO;690;05423000;-23,5714458;-46,697283
44;Região Nordeste;RN;Rio Grande do Norte;ALTO DO RODRIGUES;CENTRO;RUA ANGELO VARELA;9;59507000;-5,2887251;-36,7603816
45;Região Sul;RS;Rio Grande do Sul;LAJEADO;CENTRO;AVENIDA SENADOR ALBERTO PASQUALINI;193;95900034;-29,4589733;-51,9673123
46;Região Nordeste;BA;Bahia;ESPLANADA;CENTRO;RUA JOSE ALVES DOS SANTOS FILHO;SN;48370000;-11,7946561;-37,9435616
47;Região Norte;TO;Tocantins;ANANAS;CENTRO;RUA OLAVO BILAC;1;77890000;-6,3685511;-48,0697669
48;Região Sudeste;SP;São Paulo;PIRAPORA DO BOM JESUS;JARDIM BOM JESUS;RUA EGEO BENTO FRATICCELI;311;06550000;-23,3969772;-46,9995522
49;Região Sudeste;SP;São Paulo;CAMPINAS;CIDADE UNIVERSITARIA;RUA ROXO MOREIRA;76;13083590;-22,812618;-47,0761302
50;Região Sudeste;SP;São Paulo;SAO BERNARDO DO CAMPO;PAULICEIA;RUA PINHEIROS;72;09692020;-23,6698174;-46,5853564
51;Região Sudeste;SP;São Paulo;MARACAI;CENTRO;AVENIDA SAO PAULO;503;19840000;-22,6105462;-50,6671498
52;Região Sudeste;SP;São Paulo;ASSIS;AGUA DO MELCHIOR;FAZENDA SAO JOSE;SN;19804355;-22,6606373;-50,404369
53;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CONJUNTO CONFISCO;RUA A;663;31360390;-19,997465;-44,0423971
54;Região Sul;SC;Santa Catarina;FLORIANOPOLIS;CENTRO;RUA DOS ILHEUS;10;88010560;-27,5969056;-48,5486711
55;Região Sudeste;SP;São Paulo;GUARULHOS;VILA GALVAO;RUA TREZE DE MAIO;200;07071050;-23,4556501;-46,5659188
56;Região Nordeste;PE;Pernambuco;CARUARU;MURICI;SITIO MURICI;16;55000000;-8,2849639;-35,9701874
57;Região Sul;PR;Paraná;SAO JOAO;CENTRO;AVENIDA GETULIO VARGAS;1268;85570000;-25,8335554;-52,7304154
58;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;SANTA TEREZA;RUA JAGUARI;723;90820180;-30,0875704;-51,2356869
59;Região Sudeste;MG;Minas Gerais;RESPLENDOR;NICOLANDIA;RUA JOSE NICOLINI;8;35235000;-19,3244066;-41,2513767
60;Região Sul;PR;Paraná;MANDAGUARI;PARQUE INDUSTRIAL;RODOVIA BR 376;3475;86975000;-23,5259717;-51,6790774
61;Região Sudeste;SP;São Paulo;SAO PAULO;SANTO AMARO;AVENIDA ADOLFO PINHEIRO;3520;04734003;-23,6317575;-46,6913253
62;Região Norte;RO;Rondônia;PIMENTA BUENO;SAO FILIPE;AVENIDA F A;150;76970000;-11,6821425;-61,1765191
63;Região Centro-Oeste;MS;Mato Grosso do Sul;JARAGUARI;ZONA RURAL;RODOVIA BR 163;SN;79440000;-20,7683924;-54,5282522
64;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM VITORIA REGIA ZONA NORTE;RUA SAPOPEMBA;14B;02859140;-23,4383937;-46,7079522
65;Região Sudeste;ES;Espírito Santo;VITORIA;PRAIA DO CANTO;AVENIDA DA PENHA;570;29055131;-20,3058891;-40,2963769
66;Região Sudeste;SP;São Paulo;SAO MIGUEL ARCANJO;BOA VISTA;SITIO SAO JOSE;SN;18230000;-23,8888022;-47,9811739
67;Região Sul;RS;Rio Grande do Sul;SAPUCAIA DO SUL;NOVA SAPUCAIA;AVENIDA JOAO PEREIRA DE VARGAS;2884;93230210;-29,8450304;-51,1373736
68;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CEU AZUL II;RUA RADIALISTA M SOBRINHO;95;30001970;-19,8122294;-44,0050075
69;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CIDADE NOVA;RUA CARDEAL STEPINAC;592;31170220;-19,8868188;-43,924144
70;Região Sudeste;SP;São Paulo;SAO PAULO;VILA MARACANA;AVENIDA ITABERABA;3623;02739000;-23,4778099;-46,6820484
71;Região Nordeste;PI;Piauí;OEIRAS;CENTRO;RUA CORONEL MUNDICO SA;222;64500000;-7,0136487;-42,1322099
72;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;CAVALHADA;RUA DONA ZULMIRA;498;90830240;-30,0956211;-51,2272425
73;Região Sudeste;SP;São Paulo;SAO PAULO;VILA SOFIA;RUA ALVARES AZEVEDO;190;04671040;-23,657769;-46,693659
74;Região Nordeste;BA;Bahia;CAETANOS;CENTRO;RUA LUIZ VIANA;5;45265000;-14,3354678;-40,9046493
75;Região Sudeste;SP;São Paulo;RIBEIRAO PRETO;JARDIM PAULISTANO;RUA GUARUJA;1;14090283;-21,1839696;-47,7938219
76;Região Sudeste;SP;São Paulo;AMPARO;CENTRO;AVENIDA BERNARDINO DE CAMPOS;12;13900400;-22,7055965;-46,7693964
77;Região Nordeste;BA;Bahia;SENHOR DO BONFIM;RODOVIARIO;AVENIDA JOAO DURVAL CARNEIRO;SN;48970000;-10,4546513;-40,1819714
78;Região Sul;PR;Paraná;LUNARDELLI;CENTRO;RUA SAOA PAULO;220;86935000;-24,0778289;-51,7418756
79;Região Nordeste;BA;Bahia;SALVADOR;MATATU DE BROTAS;RUA DOS BANDEIRANTES;125;40260120;-12,9726504;-38,4938111
80;Região Sudeste;MG;Minas Gerais;PARAOPEBA;;RUA QUINTINO MOREIRA;12;35774000;-19,2760428;-44,405245
81;Região Nordeste;BA;Bahia;SALVADOR;COMERCIO;RUA MIGUEL CALMON;63;40015010;-12,9718268;-38,5129729
82;Região Centro-Oeste;MT;Mato Grosso;DIAMANTINO;ZONA RURAL;RODOVIA MT 308;SN;78400000;-14,4040989;-56,4370932
83;Região Nordeste;SE;Sergipe;LAGARTO;SEDE;AVENIDA PRESIDENTE KENNEDY;409;49400000;-10,9122056;-37,6708401
84;Região Nordeste;CE;Ceará;FORTALEZA;SAO GERARDO;RUA ODETTE PACHECO;184;60325580;-3,7271625;-38,5550863
85;Região Nordeste;BA;Bahia;SALVADOR;CENTRO;RUA AFONSO CELSO;561;40140080;-13,0081176;-38,527092
86;Região Centro-Oeste;GO;Goiás;CRISTALINA;CENTRO;RUA MINAS GERAIS;SN;73850000;-16,7631914;-47,6075051
87;Região Nordeste;CE;Ceará;CARIRE;CENTRO;RUA DA BANDEIRA;52;62184000;-3,94904;-40,4736592
88;Região Sul;PR;Paraná;CURITIBA;CIDADE INDUSTRIAL;RUA RICARDO EMILIO MICHEL;66;81250610;-25,4876981;-49,3406071
89;Região Centro-Oeste;MS;Mato Grosso do Sul;CAMPO GRANDE;JARDIM NHANHA;AVENIDA DAS BANDEIRAS;806;79081310;-20,4798635;-54,6215663
90;Região Sudeste;SP;São Paulo;CAJAMAR;ALTOS DE JORDANESIA;AVENIDA ANTONIETA PASQUARELLI PENTEADO;170;07786515;-23,3362278;-46,8345215
91;Região Sudeste;SP;São Paulo;RIBEIRAO PRETO;CAMPOS ELISEOS;RUA JOAO CLAPP;542;14080350;-21,1606727;-47,8024612
92;Região Sudeste;SP;São Paulo;SAO PAULO;VILA INDUSTRIAL;RUA ANAI;33;03253040;-23,6093521;-46,5320263
93;Região Nordeste;PE;Pernambuco;LAGOA DO CARRO;CENTRO;PRACA DA SOLEDADE;53;55820000;-7,844248;-35,3111011
94;Região Sudeste;SP;São Paulo;ASSIS;VL PRUDENCIANA;AVENIDA VEREADOR D PASSARINHO;1013;19807155;-22,6710153;-50,4381695
95;Região Sul;PR;Paraná;UMUARAMA;SERRA DOS DOURADOS;AVENIDA PRINCIPAL;SN;87504616;-23,7661064;-53,3206105
96;Região Sul;SC;Santa Catarina;MAFRA;CENTRO;RUA VITORINO BACELAR;223;89300000;-26,1117326;-49,8065079
97;Região Sudeste;SP;São Paulo;TABOAO DA SERRA;VILA IASI;ESTRADA BENEDITO CESARIO DE OLIVEIRA;588;06767280;-23,6214512;-46,7888221
98;Região Centro-Oeste;GO;Goiás;GOIANIA;VILA OSVALDO ROSA;RUA 6;SN;74633400;-16,6591068;-49,278129
99;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM ROSELI;RUA CUSTODIO NASCIMENTO;20;08380059;-23,5948436;-46,4432643
100;Região Sudeste;MG;Minas Gerais;CARATINGA;CENTRO;TRECHO PORTUGUES;39;35300068;-19,7896207;-42,1415419
101;Região Sudeste;SP;São Paulo;SAO PAULO;VILA N CACHOEIRINHA;AVENIDA ITABERABA;5107;02739000;-23,474187;-46,6693958
102;Região Sul;PR;Paraná;DOIS VIZINHOS;CENTRO NORTE;RUA DEDI BARICHELLO MONTAGNER;SN;85660000;-25,7464549;-53,0615734
103;Região Nordeste;PB;Paraíba;COREMAS;CENTRO;RUA GETULIO VARGAS;SN;58770000;-7,0190869;-37,9440765
104;Região Sudeste;MG;Minas Gerais;PEDRO LEOPOLDO;CENTRO;RUA COMENDADOR ANTONIO ALVES;704;33600970;-19,6213368;-44,0415215
105;Região Sudeste;SP;São Paulo;VALPARAISO;CENTRO;RUA XV DE NOVEMBRO;51;16880000;-21,2254231;-50,8683504
106;Região Sudeste;SP;São Paulo;COSMOPOLIS;CHACARA HORIZONTE;AVENIDA DA SAUDADE;32;13150000;-22,6482084;-47,1886192
107;Região Sul;SC;Santa Catarina;FLORIANOPOLIS;CAMPECHE;RODOVIA SC 405;112;88065000;-27,6619842;-48,501835
108;Região Centro-Oeste;GO;Goiás;APARECIDA DE GOIANIA;JARDIM BURITI SERENO;RUA DO RUSSEL;SN;74942470;-16,820257;-49,2473044
109;Região Sul;SC;Santa Catarina;FLORIANOPOLIS;CENTRO;RUA ALVES DE BRITO;141;88015440;-27,5859254;-48,5471612
110;Região Sudeste;SP;São Paulo;BIRIGUI;CENTRO;PRACA DOUTOR GAMA;476;16200003;-21,28913;-50,34124
111;Região Centro-Oeste;GO;Goiás;ANAPOLIS;VILA INDUSTRIAL;RUA ALEIXO RODRIGUES DE QUEIROZ;840;75115010;-16,328546;-48,953403
112;Região Sudeste;MG;Minas Gerais;DIVINOPOLIS;AREA RURAL;FAZENDA MARACUJA;SN;35500970;-20,1451261;-44,8916447
113;Região Sul;RS;Rio Grande do Sul;CAXIAS DO SUL;DIAMANTINO;RUA GRACIOSA FABRO;114;95055065;-29,1557242;-51,1393047
114;Região Nordeste;SE;Sergipe;NOSSA SENHORA DE LOURDES;CENTRO;RUA PEROLINA ARAUJO;166;49890000;-10,0776488;-37,0570297
115;Região Sudeste;SP;São Paulo;BALBINOS;DUAS PONTES;SITIO MONTE AZUL;SN;16640000;-21,8967699;-49,3623695
116;Região Sudeste;SP;São Paulo;SAO PAULO;VILA CRUZEIRO;RUA ALBINO B GABRIL;227;04727030;-23,6427249;-46,7134267
117;Região Sudeste;MG;Minas Gerais;GOVERNADOR VALADARES;SANTA RITA;RUA APOL SATHLER;86;35040060;-18,8549317;-41,9559233
118;Região Sudeste;SP;São Paulo;CANDIDO MOTA;AGUA DO FOGO;SITIO SAO BENEDITO;SN;19880000;-22,7466667;-50,3880476
119;Região Sul;PR;Paraná;GUARAPUAVA;CONRADINHO;RUA ANTONIO LOSSO;972;85055310;-25,3695058;-51,4636864
120;Região Sudeste;SP;São Paulo;SAO PAULO;VILA LONDRINA;RUA LONDRES;450;03731030;-23,5107859;-46,5360225
121;Região Sudeste;SP;São Paulo;SAO PAULO;SUMAREZINHO;RUA HEITOR PENTEADO;1759;05437000;-23,5438399;-46,6943593
122;Região Sul;PR;Paraná;CURITIBA;CENTRO;RUA DESEMBARGADOR MOTTA;2308;80420190;-25,435128;-49,2829662
123;Região Nordeste;BA;Bahia;RIACHO DE SANTANA;SAO FELIX;AVENIDA DO AGRICULTOR;SN;46470000;-13,6063873;-42,9400663
124;Região Nordeste;BA;Bahia;SALVADOR;SAO CRISTOVAO;PRACA GAGO COUTINHO;SN;41510045;-12,9141607;-38,336459
125;Região Sudeste;SP;São Paulo;TAQUARITUBA;CENTRO;RUA DOUTOR ATALIBA LEONEL;225;18740000;-23,5334414;-49,2439031
126;Região Sudeste;SP;São Paulo;SAO PAULO;BUTANTA;AVENIDA DOUTOR VITAL BRASIL;1108;05503000;-23,5688671;-46,7147589
127;Região Sudeste;SP;São Paulo;RIBEIRAO PRETO;JARDIM PIRATININGA;RUA MANUEL DE MACEDO;386;14030560;-21,1830653;-47,8363908
128;Região Nordeste;BA;Bahia;SALVADOR;URUGUAI;RUA DO URUGUAI;753;40454260;-12,9299892;-38,4924987
129;Região Nordeste;BA;Bahia;SALVADOR;BOA VIAGEM;RUA CLAUDIONOR WANDERLEY;74;40301155;-12,9303016;-38,5120363
130;Região Sudeste;SP;São Paulo;PRAIA GRANDE;CANTO DO FORTE;AVENIDA MARECHAL HERMES;200;11700250;-24,0126477;-46,406233
131;Região Nordeste;CE;Ceará;REDENCAO;CENTRO;RUA LUDGERO GUILHERME COSTA;111A;62790000;-4,2238817;-38,7302215
132;Região Sul;PR;Paraná;GUARAPUAVA;BOQUEIRAO;RUA FRANCISCO DE ASSIS;25;85022220;-25,4135668;-51,4746181
133;Região Norte;RO;Rondônia;PORTO VELHO;SAO CRISTOVAO;RUA DOM PEDRO II;1499;76804027;-8,760919;-63,8962021
134;Região Sul;SC;Santa Catarina;LAGES;VARZEA;RUA MARCILIO DIAS;380;88511570;-27,8361769;-50,3106181
135;Região Sudeste;MG;Minas Gerais;SETE LAGOAS;JK;AVENIDA MENDEL;61;35702192;-19,4204056;-44,2442282
136;Região Centro-Oeste;MS;Mato Grosso do Sul;CAMPO GRANDE;JARDIM MARCOS ROBERTO;RUA DO MINUANO;223;79080520;-20,4855858;-54,6285346
137;Região Nordeste;BA;Bahia;XIQUE XIQUE;ALFREDO HENRIQUE SAMPAIO;RODOVIA BA 52;900;47400000;-10,8234273;-42,724969
138;Região Sudeste;RJ;Rio de Janeiro;NOVA IGUACU;POSSE;RUA INDUSTRIAL;180;26021150;-22,7319933;-43,4554915
139;Região Sudeste;SP;São Paulo;SAO PAULO;PARQUE SANTA MADALENA;RUA VICENTE FRANCO TOLENTINO;132;03982180;-23,6125469;-46,506455
140;Região Sudeste;SP;São Paulo;SAO BERNARDO DO CAMPO;JARDIM BRASILANDIA;AVENIDA ROBERT KENNEDY;3073;09860122;-23,7177081;-46,5732203
141;Região Nordeste;BA;Bahia;RIO DO ANTONIO;CENTRO;PRACA VEREADOR JOSE MARQUES BORGES;78;46220000;-14,4075968;-42,0724884
142;Região Sul;PR;Paraná;CURITIBA;SANTA QUITERIA;AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES;560;80320300;-25,4572615;-49,3034942
143;Região Sudeste;MG;Minas Gerais;MONTES CLAROS;SAO JUDAS TADEU;RUA FREI EUSTAQUIO;52A;39400612;-16,7473624;-43,8609503
144;Região Sudeste;SP;São Paulo;SAO PAULO;LAJEADO;RUA JOAO DE SIQUEIRA AFONSO;281;08452000;-23,5379837;-46,3959428
145;Região Sudeste;SP;São Paulo;BIRIGUI;RESIDENCIAL ALVORADA;RUA WILSON TRONCOSO;958;16204155;-21,2915055;-50,3436312
146;Região Centro-Oeste;GO;Goiás;ANAPOLIS;SETOR INDUSTRIAL AEROPORTO;RUA FRANCISCO VALOIS;SN;75104280;-16,3596741;-48,9269257
147;Região Nordeste;BA;Bahia;LUIS EDUARDO MAGALHAES;CENTRO;RUA PARAIBA;SN;47850000;-12,079662;-45,7988017
148;Região Sudeste;SP;São Paulo;JACAREI;CENTRO;RUA ALFREDO SCHURIG;67;12327005;-23,305827;-45,9691692
149;Região Norte;PA;Pará;PARAUAPEBAS;UNIAO;RUA F;386;68515000;-6,0686758;-49,9050556
150;Região Sudeste;SP;São Paulo;TURIUBA;PALMEIRAS;ESTRADA MUNICIPAL TURIUBA A MONCOES;;15280000;-20,9475914;-50,1104467
151;Região Sudeste;SP;São Paulo;RIBEIRAO PRETO;CAMPOS ELISEOS;RUA ALIADOS;484;14080570;-21,1502253;-47,8020031
152;Região Sudeste;SP;São Paulo;SAO PAULO;PINHEIROS;RUA DEPUTADO LACERDA FRANCO;553;05418001;-23,5607191;-46,6926222
153;Região Sul;SC;Santa Catarina;GRAVATAL;TERMAS DO GRAVATAL;RUA FRANCISCO KNABBEM;SN;88735000;-28,3212662;-49,0431687
154;Região Sudeste;SP;São Paulo;PRESIDENTE EPITACIO;CAMPINAL;SITIO SINAI;SN;19470000;-21,7668575;-52,1096427
155;Região Sudeste;SP;São Paulo;SAO PAULO;VILA GUILHERME;AVENIDA OTTO BAUMGART;500;02049000;-23,5144575;-46,615003
156;Região Sul;RS;Rio Grande do Sul;VIAMAO;LOTEAMENTO ELDORADO;RUA PC ALEXANDRITA;205;94431700;-30,0722165;-51,0969571
157;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;BOTAFOGO;PRAIA DE BOTAFOGO;501;22250040;-22,9504707;-43,180611
158;Região Sudeste;SP;São Paulo;BAURU;PARQUE ROOSEVELT;RUA MARIA FRANCISCA PEREIRA;50;17064430;-22,3008094;-49,0942451
159;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM PAULISTA;AVENIDA SAO GABRIEL;477;01435001;-23,5787839;-46,6709915
160;Região Nordeste;AL;Alagoas;MACEIO;PINHEIRO;RUA CORONEL LIMA ROCHA;628;57055502;-9,6386866;-35,7414187
161;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM GUARANI;RUA JOAO PINTO DE OLIVEIRA;480;02849110;-23,4613552;-46,6877888
162;Região Sul;SC;Santa Catarina;BALNEARIO PICARRAS;MORRETES;ESTRADA AMELIA B DOS SANTOS;113;88380000;-26,7684656;-48,6804184
163;Região Nordeste;BA;Bahia;SALVADOR;SANTA TERESA;RUA HELIO DE OLIVEIRA;67;40265020;-12,9767211;-38,4839218
164;Região Sudeste;MG;Minas Gerais;SAO THOME DAS LETRAS;CENTRO;RUA EMILIO TEODORO SILVA;30;37418000;-21,7218513;-44,983291
165;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;IRAJA;RUA PROFESSOR SA NUNES;24;21231030;-22,8305297;-43,323059
166;Região Sul;RS;Rio Grande do Sul;ERECHIM;CENTRO;AVENIDA PEDRO PINTO DE SOUZA;108;99700096;-27,6365829;-52,2744942
167;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;NOVA RESTINGA;ALAMEDA G;162;91220580;-30,0928313;-51,2441011
168;Região Sul;RS;Rio Grande do Sul;ERECHIM;CENTRO;AVENIDA GERMANO HOFFMANN;199;99700036;-27,6298583;-52,2790545
169;Região Sudeste;RJ;Rio de Janeiro;ARARUAMA;CENTRO;RUA SILVA VASCONCELLOS;362;28970000;-22,8636192;-42,3336313
170;Região Sudeste;SP;São Paulo;EMBU GUACU;VALFLOR;RUA JOAO ANTONIO OLIVEIRA;50;06900000;-23,7535997;-46,8003458
171;Região Sudeste;SP;São Paulo;SAO JOSE DOS CAMPOS;JARDIM VALE DO SOL;AVENIDA FEIRA DE SANTANA;150;12238000;-23,256287;-45,9118653
172;Região Sudeste;SP;São Paulo;AMERICANA;VILA SANTA CATARINA;RUA ABOLICAO;1028;13466280;-22,7513369;-47,3316866
173;Região Sudeste;SP;São Paulo;CAMPINAS;BARAO GERALDO;RUA DOUTOR SHIGEO MORI;1390;13024500;-22,8218421;-47,0721005
174;Região Sudeste;MG;Minas Gerais;JUIZ DE FORA;MARIANO PROCOPIO;RUA CORONEL VIDAL;88;36080080;-21,7466113;-43,3639082
175;Região Sudeste;RJ;Rio de Janeiro;NOVA IGUACU;CENTRO;TRAVESSA LUIZ SOBRAL;1123;26216111;-22,7492042;-43,4397718
176;Região Sudeste;SP;São Paulo;ADAMANTINA;CORREGO DO PRATA;LOCALIDADE CORREGO DO PRATA;SN;17800000;-21,6824831;-51,0741711
177;Região Sudeste;RJ;Rio de Janeiro;NOVA IGUACU;COMENDADOR SOARES;RUA TOMAZ FONSECA;833;26262020;-22,7375023;-43,4849393
178;Região Sudeste;MG;Minas Gerais;POUSO ALEGRE;CENTRO;RUA FRANCISCO SALES;116;37550000;-22,229838;-45,9386684
179;Região Sudeste;SP;São Paulo;PIRACICABA;CENTRO;RUA PRUDENTE DE MORAIS;901;13400315;-22,7241818;-47,6468426
180;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM CHAPADAO;RUA SAMPAIO VIDAL;93;13070090;-22,8867261;-47,0800755
181;Região Sudeste;SP;São Paulo;SAO PAULO;VILA GUSTAVO;RUA DRAGOES DA INDEPENDENC;281;08210040;-23,4785556;-46,5967907
182;Região Sudeste;SP;São Paulo;DIADEMA;VILA NOGUEIRA;RUA LUIZ DE VASCONCELOS;197;09960250;-23,6936946;-46,5957633
183;Região Sudeste;SP;São Paulo;SAO PAULO;VILA CARRAO;RUA JOAO CORDEIRO;967;03435000;-23,5544169;-46,5293767
184;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;BARRA DA TIJUCA;RUA VILHENA DE MORAES;380;22640000;-22,9976251;-43,3755839
185;Região Sul;RS;Rio Grande do Sul;CARLOS BARBOSA;QUINTO DISTRITO;VILA CINCO DA BOA VISTA;SN;95186000;-29,2950409;-51,5008921
