sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
3001;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0132600;CULTIVO DE EUCALIPTO
3523;62;Indústria Digital;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;6209100;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA
3221;87;Serviços de Saúde;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;8711501;CLINICAS E RESIDENCIAS GERIATRICAS
3897;85;Serviços de Educação;EDUCAÇÃO;8599604;TREINAMENTO EM INFORMATICA
3759;56;Serviços de Alojamento/Alimentação;ALIMENTAÇÃO;5620101;RESTAURANTES E SIMILARES
338;47;Varejo;COMÉRCIO VAREJISTA;4761003;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS
1733;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530703;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA
4230;32;Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS;3299099;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
665;47;Varejo;COMÉRCIO VAREJISTA;4751200;SERVICOS DE ENGENHARIA
4235;32;Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS;3291400;FABRICACAO DE ESCOVAS, PINCEIS E VASSOURAS
1973;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4639701;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE
4238;32;Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS;3299099;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM
2225;14;Bens de Consumo;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;1412603;CONFECCAO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA
2789;81;Serviços Administrativos;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;8121400;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
1404;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8219901;MARKETING DIRETO
