sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
1;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099604;FABRICACAO DE GELO COMUM
2;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;COMERCIO VAREJISTA DE BEBIDAS
1529;96;Serviços Diversos;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;9609208;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
4;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA
1363;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
6;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO
7;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1033302;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
8;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE
1695;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520001;FABRICACAO DE FERRAMENTAS
2434;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
2694;74;Serviços Profissionais e Técnicos;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;7420004;ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS, EXCETO AEREA E SUBMARINA
12;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1032599;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
1326;73;Serviços Profissionais e Técnicos;PUBLICIDADE E PESQUISA DE MERCADO;7320300;PRODUCAO DE FILMES PARA PUBLICIDADE
2640;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330401;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS
11;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1052000;FABRICACAO DE LATICINIOS
13;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099605;CASAS DE FESTAS E EVENTOS
14;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013902;PREPARACAO DE SUBPRODUTOS DO ABATE
15;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1063500;COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA
16;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1053800;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
4793;30;Indústria Automotiva;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;3092000;FABRICACAO DE BIJUTERIAS E ARTEFATOS SEMELHANTES
1821;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4632003;COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA
18;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099699;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
19;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1096100;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
2677;74;Serviços Profissionais e Técnicos;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;7490104;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
20;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1020101;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR
1717;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520005;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES
1823;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4618499;COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA
21;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1031700;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES
22;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1064300;FABRICACAO DE MASSAS ALIMENTICIAS
23;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;FABRICACAO DE PRODUTOS DE CARNE
1583;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520005;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES
25;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1020101;FABRICACAO DE CONSERVAS DE PEIXES, CRUSTACEOS E MOLUSCOS
26;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES
27;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013901;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO
1693;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520005;SERVICOS DE CAPOTARIA
1566;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530705;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
1588;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530706;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES
29;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099605;FABRICACAO DE PRODUTOS PARA INFUSAO CHA, MATE, ETC
30;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091101;COMERCIO VAREJISTA DE LATICINIOS E FRIOS
1835;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4639701;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA
31;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099601;FABRICACAO DE VINAGRES
32;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1053800;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
1584;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4541202;COMERCIO POR ATACADO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS NOVOS E USADOS
33;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1053800;COMERCIO ATACADISTA DE LEITE E LATICINIOS
1710;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4541205;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
34;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;AGENCIAS MATRIMONIAIS
4031;16;Bens de Consumo;FABRICAÇÃO DE PRODUTOS DE MADEIRA;1629301;CABELEIREIROS, MANICURE E PEDICURE
35;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091101;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
1826;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4623102;COMERCIO ATACADISTA DE COUROS, LAS, PELES E OUTROS SUBPRODUTOS NAOCOMESTIVEIS DE ORIGEM ANIMAL
1354;73;Serviços Profissionais e Técnicos;PUBLICIDADE E PESQUISA DE MERCADO;7319099;CONSULTORIA EM PUBLICIDADE
36;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
37;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099604;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO
1321;73;Serviços Profissionais e Técnicos;PUBLICIDADE E PESQUISA DE MERCADO;7319003;PESQUISAS DE MERCADO E DE OPINIAO PUBLICA
38;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1020102;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS
202;47;Varejo;COMÉRCIO VAREJISTA;4752100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO
39;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1051100;PREPARACAO DO LEITE
40;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091101;CANTINAS  SERVICOS DE ALIMENTACAO PRIVATIVOS
1616;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530701;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
41;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1033302;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
42;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING
43;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;FABRICACAO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES
44;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1020102;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR
45;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
1567;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530703;COMERCIO POR ATACADO DE PNEUMATICOS E CAMARASDEAR
1591;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4512902;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS
46;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1032501;FABRICACAO DE CONSERVAS DE PALMITO
4582;18;Papel e Celulose;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;1821100;SERVICOS DE ACABAMENTOS GRAFICOS, EXCETO ENCADERNACAO E PLASTIFICACAO
47;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1064300;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO
48;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091101;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS
49;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1032599;FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO
4533;90;Serviços Diversos;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;9001999;ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE
4509;55;Serviços de Alojamento/Alimentação;ALOJAMENTO;5590699;CONDOMINIOS PREDIAIS
4176;52;Transporte;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;5250804;ORGANIZACAO LOGISTICA DO TRANSPORTE DE CARGA
10;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES
1829;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4651601;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA
4483;70;Serviços Profissionais e Técnicos;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;7020400;AGENCIAS DE VIAGENS
4574;18;Papel e Celulose;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;1822901;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO
1824;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4649499;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINANCIA DE ALIMENTOS OU DE INSUMOS AGROPECUARIOS
17;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
51;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1096100;COMERCIO VAREJISTA DE LATICINIOS E FRIOS
52;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1012101;ABATE DE AVES
9;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091101;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL
53;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1066000;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS
1807;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS
54;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1096100;COMERCIO VAREJISTA DE BEBIDAS
55;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1020101;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
56;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1069400;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
57;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1011201;COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS
4758;29;Indústria Automotiva;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;2930101;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS
59;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
60;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1061901;BENEFICIAMENTO DE ARROZ
1304;73;Serviços Profissionais e Técnicos;PUBLICIDADE E PESQUISA DE MERCADO;7319002;CRIACAO DE ESTANDES PARA FEIRAS E EXPOSICOES
62;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1033302;FABRICACAO DE SUCOS DE FRUTAS, HORTALICAS E LEGUMES, EXCETO CONCENTRADOS
63;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013902;COMERCIO VAREJISTA DE CARNES  ACOUGUES
64;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093702;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES
65;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013901;COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS
66;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1031700;FABRICACAO DE CONSERVAS DE FRUTAS
1808;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4649406;COMERCIO ATACADISTA DE LUSTRES, LUMINARIAS E ABAJURES
3;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1053800;FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS
28;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1069400;MOAGEM E FABRICACAO DE PRODUTOS DE ORIGEM VEGETAL NAO ESPECIFICADOS ANTERIORMENTE
67;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099699;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA
4502;55;Serviços de Alojamento/Alimentação;ALOJAMENTO;5590603;ENSINO DE ARTE E CULTURA NAO ESPECIFICADO ANTERIORMENTE
68;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099604;COMERCIO VAREJISTA DE BEBIDAS
4585;18;Papel e Celulose;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;1830003;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
69;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;FABRICACAO DE CONSERVAS DE FRUTAS
58;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099699;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
859;47;Varejo;COMÉRCIO VAREJISTA;4732600;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
70;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093702;FABRICACAO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES
71;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1031700;COMERCIO ATACADISTA DE SORVETES
72;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1011201;FABRICACAO DE PRODUTOS DE CARNE
73;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;FABRICACAO DE CONSERVAS DE FRUTAS
74;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1031700;FABRICACAO DE ALIMENTOS E PRATOS PRONTOS
4032;16;Bens de Consumo;FABRICAÇÃO DE PRODUTOS DE MADEIRA;1610202;FABRICACAO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA, PRENSADA E AGLOMERADA
75;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM
1691;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520001;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
77;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013901;FRIGORIFICO  ABATE DE BOVINOS
1696;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4541202;COMERCIO SOB CONSIGNACAO DE VEICULOS AUTOMOTORES
79;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;FABRICACAO DE CONSERVAS DE FRUTAS
80;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1031700;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
81;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1032599;COMERCIO VAREJISTA DE LATICINIOS E FRIOS
4769;50;Transporte;TRANSPORTE AQUAVIÁRIO;5099801;OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE
82;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099605;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
4551;90;Serviços Diversos;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;9003500;PRODUCAO MUSICAL
4503;55;Serviços de Alojamento/Alimentação;ALOJAMENTO;5590603;PENSOES ALOJAMENTO
4038;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314707;INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILACAO E REFRIGERACAO
78;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES
83;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1096100;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA
1714;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4530701;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES
1828;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4635401;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS
1685;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520001;COMERCIO VAREJISTA DE MATERIAL ELETRICO
84;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;COMERCIO VAREJISTA DE BEBIDAS
1810;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4689399;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
61;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013901;COMERCIO VAREJISTA DE BEBIDAS
86;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;COMERCIO VAREJISTA DE LATICINIOS E FRIOS
1426;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8219901;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
87;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1095300;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
50;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;FABRICACAO DE MASSAS ALIMENTICIAS
1709;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520006;COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS
24;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;COMERCIO VAREJISTA DE BEBIDAS
88;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
89;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1092900;FABRICACAO DE BISCOITOS E BOLACHAS
1325;73;Serviços Profissionais e Técnicos;PUBLICIDADE E PESQUISA DE MERCADO;7311400;MARKETING DIRETO
2627;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330402;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
76;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1033301;COMERCIO ATACADISTA DE EMBALAGENS
5;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1013901;FABRICACAO DE PRODUTOS DE CARNE
85;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;COMERCIO VAREJISTA DE CARNES  ACOUGUES
